,Rank,Company,Industry,Address,City,State / Country,Postal Code,Country,"Revenue (in millions, USD)",Employees,Ticker,Website,CEO
171,172,Toyota Tsusho,Trading,4-9-8 Meieki,Nagoya,Japan,450-8575,Japan,"$71,465",65218,TYHOF,www.toyota-tsusho.com,Ichiro Kashitani
172,173,MetLife,"Insurance: Life, Health (Stock)",200 Park Ave.,New York,New York,10166,U.S.,"$71,080",43000,MET,www.metlife.com,Michel A. Khalaf
173,174,China Merchants Bank,Banks: Commercial and Savings,7088 Shennan Blvd.,Shenzhen,China,518040,China,"$71,064",103669,CIHKY,www.cmbchina.com,Tian Huiyu
174,175,Prudential Financial,"Insurance: Life, Health (Stock)",751 Broad St.,Newark,New Jersey,07102,U.S.,"$70,934",40916,PRU,www.prudential.com,Charles F. Lowrey
175,176,Jiangxi Copper,Metals,15 Yejin Ave.,Guixi,China,335424,China,"$70,914",31654,,www.jxcc.com,Long Ziping
176,177,PTT,Petroleum Refining,555 Vibhavadi Rangsit Rd.,Bangkok,Thailand,10900,Thailand,"$70,652",29765,,www.pttplc.com,Auttapol Rerkpiboon
177,178,China Vanke,Real Estate,33 Huanmei Rd.,Shenzhen,China,518083,China,"$70,198",139494,CHVKF,www.vanke.com,Jiusheng Zhu
178,179,Zurich Insurance Group,Insurance: Property and Casualty (Stock),Mythenquai 2,Zurich,Switzerland,08002,Switzerland,"$69,867",54914,ZURVY,www.zurich.com,Mario Greco
179,180,Zhejiang Rongsheng Holding Group,Chemicals,98 Hongyang Rd.,Hangzhou,China,311247,China,"$69,503",22750,,www.rong-sheng.com,Shuirong Li
180,181,China Poly Group,Real Estate,1 Chaoyangmen North St.,Beijing,China,100010,China,"$69,007",110785,,www.poly.com.cn,
181,182,China Pacific Insurance (Group),"Insurance: Life, Health (Stock)",1 S. Zhongshan Rd.,Shanghai,China,200010,China,"$68,313",107000,CHPXY,www.cpic.com.cn,Fu Fan
182,183,Walt Disney,Entertainment,500 S. Buena Vista St.,Burbank,California,91521,U.S.,"$67,418",171000,DIS,www.thewaltdisneycompany.com,Robert A. Chapek
183,184,Energy Transfer,Pipelines,8111 Westchester Dr.,Dallas,Texas,75225,U.S.,"$67,417",12558,ET,www.energytransfer.com,Thomas E. Long
184,185,Lockheed Martin,Aerospace & Defense,6801 Rockledge Dr.,Bethesda,Maryland,20817,U.S.,"$67,044",114000,LMT,www.lockheedmartin.com,Jim Taiclet
185,186,Guangzhou Automobile Industry Group,Motor Vehicles & Parts,23 Xingguo Rd.,Guangzhou,China,510623,China,"$66,955",112113,,www.gac.com.cn,Zeng Qinghong
186,187,LG Electronics,"Electronics, Electrical Equip.",128 Yeoui-daero,Seoul,South Korea,07336,South Korea,"$66,862",75000,,www.lg.com,Kwon Bong-Seok
187,188,POSCO Holdings,Metals,440 Teheran-ro,Seoul,South Korea,06194,South Korea,"$66,421",36619,PKX,www.posco.com,Hag-Dong Kim
188,189,HBIS Group,Metals,385 TiYu S. Rd.,Shijiazhuang,China,050023,China,"$66,150",116572,,www.hbisco.com,Wang Yaobin
189,190,Oil & Natural Gas,"Mining, Crude-Oil Production",5A-5B Nelson Mandela Rd.,New Delhi,India,110070,India,"$65,962",38252,,www.ongcindia.com,Shashi Shanker
190,191,Freddie Mac,Diversified Financials,8200 Jones Branch Dr.,McLean,Virginia,22102,U.S.,"$65,898",7301,FMCC,www.freddiemac.com,Michael Devito
191,192,Wilmar International,Food Production,28 Biopolis Rd.,Singapore,Singapore,138568,Singapore,"$65,794",100000,WLMIY,www.wilmar-international.com,
192,193,Panasonic Holdings,"Electronics, Electrical Equip.",1006 Oaza Kadoma,Osaka,Japan,571-8501,Japan,"$65,774",240198,PCRFY,www.holdings.panasonic/global,Yuki Kusumi
193,194,JBS,Food Production,Av. Marginal Direita do Tietê 500,São Paulo,Brazil,05118-100,Brazil,"$65,036",250000,JBSAY,jbs.com.br,Gilberto Tomazoni
194,195,Goldman Sachs Group,Banks: Commercial and Savings,200 West St.,New York,New York,10282,U.S.,"$64,989",43900,GS,www.goldmansachs.com,David M. Solomon
195,196,China National Building Material Group,"Building Materials, Glass",17 Fuxing Rd.,Beijing,China,100036,China,"$64,417",206910,,www.cnbm.com.cn,
196,197,Raytheon Technologies,Aerospace & Defense,870 Winter St.,Waltham,Massachusetts,02451,U.S.,"$64,388",174000,RTX,www.rtx.com,Gregory J. Hayes
197,198,Aviva,"Insurance: Life, Health (Stock)",1 Undershaft,London,Britain,EC3P 3DQ,Britain,"$64,240",22062,AVVIY,www.aviva.com,Amanda Blanc
198,199,Shandong Weiqiao Pioneering Group,Textiles,1 Weifang Rd.,Shandong,China,256200,China,"$63,739",96782,,www.weiqiaocy.com,Zhang Bo
199,200,Aegon,"Insurance: Life, Health (Stock)",Aegonplein 50,The Hague,Netherlands,02591,Netherlands,"$63,663",22271,AEG,www.aegon.com,Lard Friese
200,201,Rio Tinto Group,"Mining, Crude-Oil Production",6 St. James's Sq.,London,Britain,SW1Y4AD,Britain,"$63,495",49345,RIO,www.riotinto.com,Jakob Stausholm
201,202,HP,"Computers, Office Equipment",1501 Page Mill Rd.,Palo Alto,California,94304,U.S.,"$63,487",51000,HPQ,www.hp.com,Enrique J. Lores
202,203,Legal & General Group,"Insurance: Life, Health (Stock)",1 Coleman St.,London,Britain,EC2R 5AA,Britain,"$62,505",10743,LGGNY,www.legalandgeneralgroup.com,Nigel Wilson
203,204,Boeing,Aerospace & Defense,100 N. Riverside Plaza,Chicago,Illinois,60606,U.S.,"$62,286",142000,BA,www.boeing.com,David L. Calhoun
204,205,Unilever,Household and Personal Products,100 Victoria Embankment,London,Britain,EC4Y 0DY,Britain,"$62,006",148044,UL,www.unilever.com,Alan W. Jope
205,206,Maersk Group,Shipping,Esplanaden 50,Copenhagen,Denmark,01098,Denmark,"$61,787",85375,AMKBY,www.maersk.com,Soren Skou
206,207,Airbus,Aerospace & Defense,Mendelweg 30,Leiden,Netherlands,02333,Netherlands,"$61,658",126495,EADSY,www.airbus.com,Rob Postma
207,208,Industrial Bank,Banks: Commercial and Savings,398 Middle Jiangbin Blvd.,Fuzhou,China,350009,China,"$61,331",62537,,www.cib.com.cn,James Chen
208,209,Shaanxi Coal & Chemical Industry,"Mining, Crude-Oil Production",636 Dongchanganjie,Xi'an,China,710100,China,"$61,299",130914,,www.shccig.com,Yang Zhaoqian
209,210,China Everbright Group,Banks: Commercial and Savings,25 Taipingqiao Ave.,Beijing,China,100033,China,"$61,194",95000,,www.ebchina.com,Chen Shuang
210,211,Morgan Stanley,Banks: Commercial and Savings,1585 Broadway,New York,New York,10036,U.S.,"$61,121",74814,MS,www.morganstanley.com,James P. Gorman
211,212,Kia,Motor Vehicles & Parts,12 Heolleung-ro,Seoul,South Korea,06797,South Korea,"$61,050",51975,,www.kia.com,Ho-Sung Song
212,213,BHP Group,"Mining, Crude-Oil Production",171 Collins St.,Melbourne,Australia,03000,Australia,"$60,817",34478,BHP,www.bhp.com,Mike Henry
213,214,Nippon Steel Corporation,Metals,2-6-1 Marunouchi,Tokyo,Japan,100-8071,Japan,"$60,612",115667,NPSCY,www.nipponsteel.com,Eiji Hashimoto
214,215,China Huaneng Group,Energy,6 Fuxingmennei Ave.,Beijing,China,100031,China,"$60,049",125365,,www.chng.com.cn,Shu Yinbiao
215,216,Petronas,Energy,"Tower 1, Petronas Twin Towers",Kuala Lumpur,Malaysia,50088,Malaysia,"$59,874",46884,,www.petronas.com,Tengku Muhammad Taufik
216,217,Ansteel Group,Metals,63 Wuyi St.,Anshan,China,114001,China,"$59,448",173597,,www.ansteel.cn,Tan Chengxu
217,218,Vinci,Engineering & Construction,1973 Blvd. de La Défense,Nanterre,France,92000,France,"$59,389",219299,VCISY,www.vinci.com,Xavier Huillard
218,219,Bunge,Food Production,1391 Timberlake Manor Pkwy.,Chesterfield,Missouri,63017,U.S.,"$59,152",22000,BG,www.bunge.com,Gregory A. Heckman
219,220,Société Générale,Banks: Commercial and Savings,29 Blvd. Haussmann,Paris,France,75009,France,"$59,058",124089,SCGLY,www.societegenerale.com,Frederic Oudea
220,221,HCA Healthcare,Health Care: Medical Facilities,1 Park Plaza,Nashville,Tennessee,37203,U.S.,"$58,752",244000,HCA,www.hcahealthcare.com,Samuel N. Hazen
221,222,Lloyds Banking Group,Banks: Commercial and Savings,25 Gresham St.,London,Britain,EC2V 7HN,Britain,"$58,476",57955,LYG,www.lloydsbankinggroup.com,Andrew Tinsley
222,223,Pertamina,Petroleum Refining,Jl. Medan Merdeka Timur 11-13,Jakarta,Indonesia,10110,Indonesia,"$57,509",34183,,www.pertamina.com,Nicke Widyawati
223,224,Sinomach,Industrial Machinery,3 Danling St.,Beijing,China,100080,China,"$57,446",132147,,www.sinomach.com.cn,Bai Shaotong
224,225,Taiwan Semiconductor Manufacturing,Semiconductors & Other Electronic Components,8 Li-Hsin Rd. 6,Hsinchu,Taiwan,300-096,Taiwan,"$56,837",65152,TSM,www.tsmc.com,C.C. Wei
225,226,Shanghai Pudong Development Bank,Banks: Commercial and Savings,12 Zhongshan Dong Yi Rd.,Shanghai,China,200002,China,"$56,795",63361,,www.spdb.com.cn,Zheng Yang
226,227,AbbVie,Pharmaceuticals,1 N. Waukegan Rd.,North Chicago,Illinois,60064,U.S.,"$56,197",50000,ABBV,www.abbvie.com,Richard A. Gonzalez
227,228,CMA CGM,Shipping,4 Quai d'Arenc,Marseille,France,13235,France,"$55,976",72282,,www.cma-cgm.com,Rodolphe Saade
228,229,Zhejiang Geely Holding Group,Motor Vehicles & Parts,1760 Jiangling Rd.,Hangzhou,China,310051,China,"$55,860",128928,,www.zgh.com,Li Shufu
229,230,Deutsche Bahn,Railroads,Potsdamer Platz 2,Berlin,Germany,10785,Germany,"$55,658",323716,,www.deutschebahn.com,Richard Lutz
230,231,Vale,"Mining, Crude-Oil Production",186 Praia de Botafogo,Rio de Janeiro,Brazil,22250-145,Brazil,"$55,585",72266,VALE,www.vale.com,Eduardo Bartolomeo
231,232,Power Corp. of Canada,"Insurance: Life, Health (Stock)",751 Victoria Sq.,"Montreal, Quebec",Canada,H2Y 2J3,Canada,"$55,489",33700,PWCDF,www.powercorporation.com,R. Jeffrey Orr
232,233,China Electronics Technology Group,Aerospace & Defense,27 Wanshou Rd.,Beijing,China,100846,China,"$55,457",202561,,www.cetc.com.cn,Chen Zhaoxiong
233,234,SoftBank Group,Telecommunications,1-7-1 Kaigan,Tokyo,Japan,105-7537,Japan,"$55,384",59721,SFTBY,www.group.softbank/en/,Masayoshi Son
234,235,Dow,Chemicals,2211 H.H. Dow Way,Midland,Michigan,48674,U.S.,"$54,968",35700,DOW,www.dow.com,James R. Fitterling
235,236,State Bank of India,Banks: Commercial and Savings,Madame Cama Rd.,Mumbai,India,400021,India,"$54,643",244250,,www.sbi.co.in,Dinesh Kumar Khara
236,237,Renault,Motor Vehicles & Parts,13-15 Quai Alphonse Le Gallo,Boulogne-Billancourt,France,92100,France,"$54,639",156466,RNLSY,renaultgroup.com,Luca De Meo
237,238,Tsingshan Holding Group,Metals,2666 Longxiang Rd.,Wenzhou,China,325058,China,"$54,574",85553,,www.tssgroup.com.cn,Sun Jianfen
238,239,Anheuser-Busch InBev,Beverages,Brouwerijplein 1,Leuven,Belgium,03000,Belgium,"$54,304",169339,BUD,www.ab-inbev.com,Jason Warner
239,240,Mitsubishi UFJ Financial Group,Banks: Commercial and Savings,2-7-1 Marunouchi,Tokyo,Japan,100-8330,Japan,"$54,087",135042,MUFG,www.mufg.jp,Hironori Kamezawa
240,241,Shenghong Holding Group,Chemicals,1188 W. 2nd Ring Rd.,Suzhou City,China,215228,China,"$53,948",35788,,www.shenghonggroup.cn,
241,242,Tesla,Motor Vehicles & Parts,13101 Tesla Rd.,Austin,Texas,78725,U.S.,"$53,823",99290,TSLA,www.tesla.com,
242,243,China State Shipbuilding,Shipping,889 Zhonghua Rd.,Shanghai,China,200011,China,"$53,671",213849,,www.cssc.net.cn,
243,244,Talanx,Insurance: Property and Casualty (Stock),HDI Platz 1,Hannover,Germany,30659,Germany,"$53,420",23954,TLLXY,www.talanx.com,Torsten Leue
244,245,Midea Group,"Electronics, Electrical Equip.",6 Midea Ave.,Foshan,China,528311,China,"$53,232",165799,,www.midea-group.com,Fang Hongbo
245,246,Allstate,Insurance: Property and Casualty (Stock),2775 Sanders Rd.,Northbrook,Illinois,60062,U.S.,"$53,228",54500,ALL,www.allstate.com,Thomas J. Wilson
246,247,Vodafone Group,Telecommunications,The Connection,Newbury,Britain,RG14 2FN,Britain,"$52,932",96941,VOD,www.vodafone.com,Nick Read
247,248,Novartis,Pharmaceuticals,Lichtstrasse 35,Basel,Switzerland,04056,Switzerland,"$52,877",104323,NVS,www.novartis.com,Vasant Narasimhan
248,249,Korea Electric Power,Utilities,55 Jeollyeok-ro,"Naju, Jeollanam-do",South Korea,58322,South Korea,"$52,356",48809,KEP,www.kepco.co.kr,Jong-Kap Kim
249,250,Idemitsu Kosan,Petroleum Refining,1-2-1 Otemachi,Tokyo,Japan,100-8321,Japan,"$52,336",16606,IDKOY,www.idemitsu.com,
250,251,Repsol,Petroleum Refining,Calle Méndez Álvaro 44,Madrid,Spain,28045,Spain,"$52,335",22923,REPYY,www.repsol.com,Josu Jon Imaz San Miguel
251,252,Saint-Gobain,"Building Materials, Glass",12 Place de L'Iris,Courbevoie,France,92400,France,"$52,212",167816,CODYY,www.saint-gobain.com,Pierre-Andre De Chalendar
252,253,Tokio Marine Holdings,Insurance: Property and Casualty (Stock),2-6-4 Ohtemachi,Tokyo,Japan,100-0004,Japan,"$52,199",43048,TKOMY,www.tokiomarinehd.com,Satoru Komiya
253,254,Bayer,Pharmaceuticals,Kaiser Wilhelm Allee 1,Leverkusen,Germany,51373,Germany,"$52,118",99637,BAYRY,www.bayer.com,Werner Baumann
254,255,American International Group,Insurance: Property and Casualty (Stock),1271 Ave. of the Americas,New York,New York,10020,U.S.,"$52,057",36600,AIG,www.aig.com,Peter S. Zaffino
255,256,Edeka Zentrale,Wholesalers: Food and Grocery,New York Ring 6,Hamburg,Germany,22297,Germany,"$51,950",404900,,www.verbund.edeka,Markus Mosa
256,257,Shaanxi Yanchang Petroleum (Group),"Mining, Crude-Oil Production",61 Tangyan Rd.,Xi'an,China,710065,China,"$51,813",129018,,www.sxycpc.com,
257,258,Best Buy,Specialty Retailers,7601 Penn Ave. S.,Richfield,Minnesota,55423,U.S.,"$51,761",81375,BBY,www.investors.bestbuy.com,Corie S. Barry
258,259,Charter Communications,Telecommunications,400 Washington Blvd.,Stamford,Connecticut,06901,U.S.,"$51,682",93700,CHTR,www.charter.com,Thomas M. Rutledge
259,260,State Power Investment,Energy,29 N.3rd Ring Rd.,Beijing,China,100029,China,"$51,518",121470,,www.spic.com.cn,Qian Zhimin
260,261,Sysco,Wholesalers: Food and Grocery,1390 Enclave Pkwy.,Houston,Texas,77077,U.S.,"$51,298",57710,SYY,www.sysco.com,Kevin P. Hourican
261,262,Merck,Pharmaceuticals,2000 Galloping Hill Rd.,Kenilworth,New Jersey,07033,U.S.,"$51,216",67500,MRK,www.merck.com,
262,263,New York Life Insurance,"Insurance: Life, Health (Mutual)",51 Madison Ave.,New York,New York,10010,U.S.,"$51,199",14344,,www.newyorklife.com,Yie-Hsin Hung
263,264,Zhejiang Hengyi Group,Chemicals,260 N. Shixin Rd.,Hangzhou,China,311215,China,"$50,974",23222,,www.hengyi.com,
264,265,Caterpillar,Construction and Farm Machinery,510 Lake Cook Rd.,Deerfield,Illinois,60015,U.S.,"$50,971",107700,CAT,www.caterpillar.com,
265,266,Xiaomi,"Electronics, Electrical Equip.",33 Xi'erqi Middle Rd.,Beijing,China,100085,China,"$50,898",33427,XIACY,www.mi.com/global,
266,267,China United Network Communications,Telecommunications,21 Finanical St.,Beijing,China,100033,China,"$50,828",242661,,www.chinaunicom-a.com,Xiaochu Wang
267,268,Accenture,Information Technology Services,1 Grand Canal Sq.,Dublin,Ireland,00002,Ireland,"$50,533",624000,ACN,www.accenture.com,Julie Sweet
268,269,China Energy Engineering Group,Engineering & Construction,26 Xidawang Rd.,Beijing,China,100022,China,"$50,345",119574,,www.ceec.net.cn,
269,270,Sberbank,Banks: Commercial and Savings,19 Vavilova St.,Moscow,Russia,117997,Russia,"$50,278",287866,SBRCY,www.sberbank.ru,
270,271,Orange,Telecommunications,111 Quai du Président Roosevelt,Issy-les-Moulineaux,France,92130,France,"$50,275",139698,ORAN,www.orange.com,Stephane Richard
271,272,Woolworths Group,Food & Drug Stores,1 Woolworths Way,Bella Vista,Australia,02153,Australia,"$50,211",210067,WOLWF,www.woolworthsgroup.com.au,Brad Banducci
272,273,China Minsheng Banking,Banks: Commercial and Savings,2 Fuxingmennei Ave.,Beijing,China,100031,China,"$50,079",60232,CMAKY,www.cmbc.com.cn,Zheng Wanchun
273,274,Cisco Systems,Network & Other Communications Equipment,170 W. Tasman Dr.,San Jose,California,95134,U.S.,"$49,818",79500,CSCO,www.cisco.com,Chuck Robbins
274,275,América Móvil,Telecommunications,Lago Zurich 245,Mexico City,Mexico,11529,Mexico,"$49,702",181205,AMX,www.americamovil.com,Daniel Hajj Aboumrad
275,276,Louis Dreyfus,Food Production,Westblaak 92,Rotterdam,Netherlands,03012,Netherlands,"$49,569",15737,,www.ldc.com,Jan Schol
276,277,Manulife Financial,"Insurance: Life, Health (Stock)",200 Bloor St. E.,"Toronto, Ontario",Canada,M4W 1E5,Canada,"$49,315",38000,MFC,www.manulife.com,Roy Gori
277,278,Denso,Motor Vehicles & Parts,1-1 Showa-cho,Kariya,Japan,448-8661,Japan,"$49,099",167950,DNZOY,www.denso.com/global,Koji Arima
278,279,Sumitomo,Trading,2-3-2 Ohtemachi,Tokyo,Japan,100-8601,Japan,"$48,916",74253,SSUMY,www.sumitomocorp.com,Masayuki Hyodo
279,280,TJX,Specialty Retailers,770 Cochituate Rd.,Framingham,Massachusetts,01701,U.S.,"$48,550",340000,TJX,www.tjx.com,Ernie L. Herrman
280,281,KDDI,Telecommunications,3-10-10 Iidabashi,Tokyo,Japan,102-8460,Japan,"$48,486",48829,KDDIY,www.kddi.com,Takashi Tanaka
281,282,Groupe BPCE,Banks: Commercial and Savings,50 Ave. Pierre Mendès France,Paris,France,75013,France,"$48,433",98727,,www.groupebpce.com,Laurent Mignon
282,283,Publix Super Markets,Food & Drug Stores,3300 Publix Corporate Pkwy.,Lakeland,Florida,33811,U.S.,"$48,394",232000,,www.publix.com,Randall T. Jones Sr.
283,284,ConocoPhillips,"Mining, Crude-Oil Production",925 N. Eldridge Pkwy.,Houston,Texas,77079,U.S.,"$48,349",9900,COP,www.conocophillips.com,Ryan M. Lance
284,285,Liberty Mutual Insurance Group,Insurance: Property and Casualty (Stock),175 Berkeley St.,Boston,Massachusetts,02116,U.S.,"$48,200",45000,,www.libertymutual.com,David H. Long
285,286,Progressive,Insurance: Property and Casualty (Stock),6300 Wilson Mills Rd.,Mayfield Village,Ohio,44143,U.S.,"$47,702",49077,PGR,www.progressive.com,Susan Patricia Griffith
286,287,Ingka Group,Specialty Retailers,Bargelaan 20,Leiden,Netherlands,02333,Netherlands,"$47,546",174225,,www.ingka.com,Jesper Brodin
287,288,AIA Group,"Insurance: Life, Health (Stock)",1 Connaught Rd.,Hong Kong,China,00000,China,"$47,525",23981,AAGIY,www.aia.com,Fisher Zhang
288,289,Nationwide,Insurance: Property and Casualty (Mutual),1 Nationwide Plaza,Columbus,Ohio,43215,U.S.,"$47,376",24134,,www.nationwide.com,Kirt A. Walker
289,290,Tokyo Electric Power,Utilities,1-1-3 Uchisaiwai-cho,Tokyo,Japan,100-8560,Japan,"$47,269",37939,TKECY,www.tepco.co.jp,Tomoaki Kobayakawa
290,291,Jiangsu Shagang Group,Metals,Jinfeng Town,Zhangjiagang,China,215625,China,"$47,072",45398,,www.shasteel.cn,Shen Bin
291,292,Tyson Foods,Food Production,2200 W. Don Tyson Pkwy.,Springdale,Arkansas,72762,U.S.,"$47,049",137000,TSN,www.tysonfoods.com,Donnie D. King
292,293,EXOR Group,Diversified Financials,Gustav Mahlerplein 25,Amsterdam,Netherlands,01082,Netherlands,"$47,011",74353,EXXRF,www.exor.com,John Elkann
293,294,GSK,Pharmaceuticals,980 Great West Rd.,Brentford,Britain,TW8 9GS,Britain,"$46,915",90096,GSK,www.gsk.com,
294,295,Bharat Petroleum,Petroleum Refining,4&6 Currimbhoy Rd.,Mumbai,India,400001,India,"$46,867",9193,,www.bharatpetroleum.in,
295,296,Swiss Re,Insurance: Property and Casualty (Stock),Mythenquai 50/60,Zurich,Switzerland,08022,Switzerland,"$46,739",13985,SSREY,www.swissre.com,Christian Mumenthaler
296,297,China National Coal Group,"Mining, Crude-Oil Production",1 Huangsi St.,Beijing,China,100120,China,"$46,665",149898,,www.chinacoal.com,Wang Shudong
297,298,Intesa Sanpaolo,Banks: Commercial and Savings,Piazza San Carlo 156,Turin,Italy,10121,Italy,"$46,584",97698,ISNPY,www.group.intesasanpaolo.com,Carlo Messina
298,299,Susun Construction Group,Engineering & Construction,65 Huanlong Rd.,Shanghai,China,200137,China,"$46,478",153242,,www.ss-ceo.com,
299,300,Telefónica,Telecommunications,Distrito Telefónica,Madrid,Spain,28050,Spain,"$46,439",104150,TEF,www.telefonica.com,Jose Maria Alvarez-Pallete
300,301,Bristol-Myers Squibb,Pharmaceuticals,430 E. 29th St.,New York,New York,10016,U.S.,"$46,385",32200,BMY,www.bms.com,Giovanni Caforio
301,302,Zhejiang Communications Investment Group,Transportation and Logistics,199 Wuxing Rd.,Hangzhou,China,310020,China,"$46,382",40776,,www.cncico.com,Yu Zhihong
302,303,Sanofi,Pharmaceuticals,54 Rue la Boétie,Paris,France,75008,France,"$46,318",95442,SNY,www.sanofi.com,Paul Hudson
303,304,Iberdrola,Utilities,Plaza Euskadi 5,Bilbao,Spain,48009,Spain,"$46,246",38702,IBDRY,www.iberdrola.com,Ignacio S. Galan
304,305,LyondellBasell Industries,Chemicals,Delftseplein 27E,Rotterdam,Netherlands,03013,Netherlands,"$46,173",19100,LYB,www.lyondellbasell.com,Chris Vandyke
305,306,Hanwha,"Insurance: Life, Health (Stock)",86 Cheonggyecheon-ro,Seoul,South Korea,04541,South Korea,"$46,171",53198,,www.hanwhacorp.co.kr,Sungsoo Lee
306,307,Royal Bank of Canada,Banks: Commercial and Savings,200 Bay St.,"Toronto, Ontario",Canada,M5J 2J5,Canada,"$45,981",85301,RY,www.rbc.com,David I. Mckay
307,308,Alimentation Couche-Tard,Specialty Retailers,4204 Industriel Blvd.,"Laval, Quebec",Canada,H7L 0E3,Canada,"$45,760",124000,ANCTF,corpo.couche-tard.com,
308,309,MS&AD Insurance Group Holdings,Insurance: Property and Casualty (Stock),2-27-2 Shinkawa,Tokyo,Japan,104-0033,Japan,"$45,685",39962,MSADY,www.ms-ad-hd.com,Yasuyoshi Karasawa
309,310,ZF Friedrichshafen,Motor Vehicles & Parts,Löwentaler Str. 20,Friedrichshafen,Germany,88046,Germany,"$45,299",157549,,www.zf.com,
310,311,Pegatron,"Electronics, Electrical Equip.",76 Ligong St.,Taipei,Taiwan,00112,Taiwan,"$45,247",132157,,www.pegatroncorp.com,Syh-Jang Liao
311,312,Continental,Motor Vehicles & Parts,Vahrenwalder Str. 9,Hannover,Germany,30165,Germany,"$45,163",190875,CTTAY,www.continental.com,
312,313,Nike,Apparel,1 Bowerman Dr.,Beaverton,Oregon,97005,U.S.,"$44,538",73300,NKE,www.nike.com,
313,314,Bouygues,Engineering & Construction,32 Ave. Hoche,Paris,France,75008,France,"$44,508",124651,BOUYY,www.bouygues.com,Olivier Roussat
314,315,China South Industries Group,Aerospace & Defense,10 Chedaogou St.,Beijing,China,100089,China,"$44,374",162498,,www.csgc.com.cn,
315,316,Fresenius,Health Care: Medical Facilities,Else Kröner Str. 1,Bad Homburg,Germany,61352,Germany,"$44,361",281011,FSNUY,www.fresenius.com,Stephan Sturm
316,317,Compal Electronics,"Computers, Office Equipment",581 Ruiguang Rd.,Taipei,Taiwan,11492,Taiwan,"$44,243",109709,,www.compal.com,Joe Chen
317,318,Deere,Construction and Farm Machinery,1 John Deere Place,Moline,Illinois,61265,U.S.,"$44,024",75550,DE,www.deere.com,John C. May
318,319,George Weston,Food & Drug Stores,22 St. Clair Ave. E.,"Toronto, Ontario",Canada,M4T 2S5,Canada,"$43,925",215298,WNGRF,www.weston.ca,Galen G. Weston
319,320,American Express,Diversified Financials,200 Vesey St.,New York,New York,10285,U.S.,"$43,663",64000,AXP,www.americanexpress.com,Stephen J. Squeri
320,321,Shanghai Construction Group,Engineering & Construction,666 Da Ming Rd.,Shanghai,China,200080,China,"$43,572",51369,,www.scg.com.cn,Bian Jiajun
321,322,China Aerospace Science & Technology,Aerospace & Defense,16 Fucheng Rd.,Beijing,China,100048,China,"$43,420",180521,,www.spacechina.com,Wu Yansheng
322,323,Volvo,Motor Vehicles & Parts,Gropegårdsgatan 2,Göteborg,Sweden,417 15,Sweden,"$43,388",89195,VLVLY,www.volvogroup.com,Martin Lundstedt
323,324,China Electronics,"Electronics, Electrical Equip.",3 Kefa Rd.,Shenzhen,China,518057,China,"$43,118",191126,,www.cec.com.cn,
324,325,Abbott Laboratories,Medical Products and Equipment,100 Abbott Park Rd.,Abbott Park,Illinois,60064,U.S.,"$43,075",113000,ABT,www.abbott.com,Robert B. Ford
325,326,China Huadian,Utilities,2 Xuanwumennei St.,Beijing,China,100031,China,"$42,855",92217,,www.chd.com.cn,Wen Shugang
326,327,StoneX Group,Diversified Financials,230 Park Ave.,New York,New York,10169,U.S.,"$42,534",3242,SNEX,www.stonex.com,Sean M. O'Connor
327,328,Shougang Group,Metals,68 Shijingshan Rd.,Beijing,China,100041,China,"$42,090",96432,,www.shougang.com.cn,Zhang Gongyan
328,329,Plains GP Holdings,Pipelines,333 Clay St.,Houston,Texas,77002,U.S.,"$42,078",4100,PAGP,www.plains.com,
329,330,OMV Group,Petroleum Refining,Trabrennstr. 6-8,Vienna,Austria,01020,Austria,"$42,038",22434,OMVKY,www.omv.com,Alfred Stern
330,331,Anglo American,"Mining, Crude-Oil Production",17 Charterhouse St.,London,Britain,EC1N 6RA,Britain,"$41,554",62000,NGLOY,www.angloamerican.com,Mark Cutifani
331,332,Shandong Iron & Steel Group,Metals,2000 Shunhua St.,Jinan,China,250101,China,"$41,319",34171,,www.shansteelgroup.com,Hou Jun
332,333,Itaú Unibanco Holding,Banks: Commercial and Savings,Praça Alfredo Egydio de Souza Aranha 100,São Paulo,Brazil,04344-902,Brazil,"$41,175",99598,ITUB,www.itau.com.br,Candido Botelho Bracher
333,334,China Taiping Insurance Group,"Insurance: Life, Health (Mutual)",18 King Wah Rd.,Hong Kong,China,999077,China,"$41,091",68441,,www.cntaiping.com,Wei Yu
334,335,SNCF Group,Railroads,2 Place aux Etoiles,St. Denis,France,93200,France,"$41,088",270296,,www.sncf.com,Jean-Pierre Farandou
335,336,Hangzhou Iron and Steel Group,Metals,178 Banshan Rd.,Hangzhou,China,310022,China,"$41,009",11179,,www.hzsteel.com,
336,337,DZ Bank,Banks: Commercial and Savings,Platz der Republik,Frankfurt,Germany,60265,Germany,"$41,005",28913,,www.dzbank.com,Uwe Frohlich
337,338,Chubb,Insurance: Property and Casualty (Stock),Bärengasse 32,Zurich,Switzerland,08001,Switzerland,"$40,963",31000,CB,www.chubb.com,Evan G. Greenberg
338,339,Jinchuan Group,Metals,98 Jinchuan Rd.,Jinchang City,China,737100,China,"$40,958",29100,,www.jnmc.com,Wang Yongqian
339,340,La Poste,"Mail, Package and Freight Delivery",9 Rue du Colonel Pierre Avia,Paris,France,75015,France,"$40,919",244980,,www.groupelaposte.com,Philippe Wahl
